2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®,2023 »ý»ê·®,±¤Á¾,±¹°¡,´ÜÀ§,´ë·ú,Ç°¸ñ
7.000,13.200,14.000,19.000,23.000,17.000,24.000,21.000,20.000,19.000,20.000,21.800,21.600,¿¬,Romania,ÃµÅæ,EUROPE,refined
103.000,110.000,106.000,96.500,165.000,193.000,206.000,201.000,190.000,192.000,190.000,200.200,130.250,¿¬,Russia,ÃµÅæ,EUROPE,refined
12.000,13.000,15.000,15.000,15.000,6.000,15.000,15.000,16.000,14.000,15.000,16.400,16.800,¿¬,Serbia,ÃµÅæ,EUROPE,refined
,0.000,9.000,8.000,8.000,8.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,¿¬,Slovakia,ÃµÅæ,EUROPE,refined
15.000,14.000,12.000,11.000,12.000,12.000,12.000,12.000,12.000,11.000,12.000,12.000,12.000,¿¬,Slovenia,ÃµÅæ,EUROPE,refined
177.000,160.000,157.000,166.000,172.000,168.800,188.400,190.000,192.000,174.600,192.000,192.000,192.000,¿¬,Spain,ÃµÅæ,EUROPE,refined
52.438,61.528,68.713,68.708,71.293,74.365,78.242,75.785,75.327,74.371,73.431,71.165,76.149,¿¬,Sweden,ÃµÅæ,EUROPE,refined
55.337,43.240,48.753,42.900,31.756,28.500,33.600,29.800,24.100,25.000,59.066,62.400,62.400,¿¬,Ukraine,ÃµÅæ,EUROPE,refined
275.000,311.930,296.000,281.000,304.000,310.000,309.000,303.000,311.000,312.600,408.900,436.400,404.600,¿¬,United Kingdom,ÃµÅæ,EUROPE,refined
10.000,6.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,8.000,9.000,9.600,9.400,¿¬,Algeria,ÃµÅæ,AFRICA,refined
2.400,2.961,3.076,2.817,3.048,1.823,1.150,1.150,1.012,1.000,1.000,1.000,1.000,¿¬,Ghana,ÃµÅæ,AFRICA,refined
1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,¿¬,Kenya,ÃµÅæ,AFRICA,refined
39.500,20.600,20.000,15.000,14.000,11.000,8.000,8.000,8.000,7.000,8.000,7.600,7.200,¿¬,Morocco,ÃµÅæ,AFRICA,refined
0.800,1.700,1.933,2.310,2.494,2.844,3.828,3.422,3.943,1.357,4.594,5.263,5.300,¿¬,Mozambique,ÃµÅæ,AFRICA,refined
9.000,15.000,9.000,9.000,2.000,9.000,9.000,6.000,12.000,12.000,15.000,15.000,15.000,¿¬,Nigeria,ÃµÅæ,AFRICA,refined
2.400,2.383,2.608,2.187,1.856,3.576,3.424,3.693,3.500,4.200,4.868,5.924,5.920,¿¬,Senegal,ÃµÅæ,AFRICA,refined
58.000,58.000,58.000,52.000,52.000,54.000,55.000,56.000,56.000,55.000,56.000,56.200,56.400,¿¬,South Africa,ÃµÅæ,AFRICA,refined
1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,¿¬,Tunisia,ÃµÅæ,AFRICA,refined
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.400,6.056,6.470,6.500,¿¬,Tanzania,ÃµÅæ,AFRICA,refined
3.000,4.000,5.000,5.000,4.000,5.000,4.000,5.000,5.000,4.000,5.000,4.400,4.800,¿¬,Zambia,ÃµÅæ,AFRICA,refined
4603.600,4590.900,4935.100,4704.300,4421.600,4603.900,4726.200,4942.947,5221.478,4966.000,7365.000,7811.000,7564.000,¿¬,China,ÃµÅæ,ASIA,refined
379.893,461.371,462.285,477.000,496.345,689.500,812.400,883.000,921.900,818.100,893.048,949.000,1021.100,¿¬,India,ÃµÅæ,ASIA,refined
47.000,45.000,42.000,46.000,46.000,48.000,46.000,54.000,54.000,53.000,54.000,54.000,54.000,¿¬,Indonesia,ÃµÅæ,ASIA,refined
82.000,93.700,76.000,72.000,78.000,130.000,132.000,125.000,122.000,117.000,120.000,125.000,126.000,¿¬,Iran,ÃµÅæ,ASIA,refined
27.000,27.000,27.000,27.000,26.000,27.000,25.000,28.700,24.000,20.000,20.000,20.200,20.400,¿¬,Israel,ÃµÅæ,ASIA,refined
252.562,258.527,251.854,240.045,232.281,239.501,239.382,238.413,236.824,237.300,245.000,240.954,225.691,¿¬,Japan,ÃµÅæ,ASIA,refined
111.518,87.854,91.100,125.289,119.893,134.124,149.453,154.707,130.990,128.014,120.508,109.088,101.497,¿¬,Kazakhstan,ÃµÅæ,ASIA,refined
7.200,7.200,7.200,7.200,10.000,11.300,11.900,6.000,26.000,22.000,20.000,20.200,20.400,¿¬,Lebanon,ÃµÅæ,ASIA,refined
34.635,26.429,30.944,26.200,25.300,28.000,30.000,30.000,30.000,33.000,33.000,36.000,36.000,¿¬,Malaysia,ÃµÅæ,ASIA,refined
0.216,0.216,0.216,0.200,0.600,5.900,12.000,12.000,12.000,11.000,11.000,14.500,15.600,¿¬,Myanmar,ÃµÅæ,ASIA,refined
7.000,7.000,7.000,7.000,7.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000,¿¬,North Korea,ÃµÅæ,ASIA,refined
3.000,3.000,9.000,9.000,0.100,0.100,5.000,18.000,32.000,32.000,32.000,31.600,35.000,¿¬,Pakistan,ÃµÅæ,ASIA,refined
34.000,32.000,34.000,30.000,30.000,14.000,10.000,10.000,10.000,10.000,10.000,10.400,10.800,¿¬,Philippines,ÃµÅæ,ASIA,refined
38.000,38.000,38.000,38.000,37.000,60.000,72.000,68.000,68.000,66.000,70.000,69.800,69.600,¿¬,Saudi Arabia,ÃµÅæ,ASIA,refined
423.000,460.000,522.000,632.538,656.500,812.500,806.600,801.000,813.000,770.000,800.000,702.463,690.930,¿¬,South Korea,ÃµÅæ,ASIA,refined
2.100,3.760,4.800,4.528,2.500,3.004,3.524,4.732,3.719,3.500,4.054,4.976,5.000,¿¬,Sri Lanka,ÃµÅæ,ASIA,refined
36.000,36.000,36.000,40.000,46.000,48.000,48.000,58.000,55.000,55.000,55.000,61.600,61.200,¿¬,Taiwan,ÃµÅæ,ASIA,refined
93.000,90.000,90.000,92.000,86.000,86.000,88.000,85.000,82.000,80.000,85.000,82.600,79.200,¿¬,Thailand,ÃµÅæ,ASIA,refined
48.000,50.000,50.000,55.000,56.572,58.000,58.000,58.000,60.000,56.000,56.000,57.800,57.600,¿¬,Turkey,ÃµÅæ,ASIA,refined
2.016,2.000,2.000,16.000,18.000,22.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,¿¬,United Arab Emirates,ÃµÅæ,ASIA,refined
84.559,90.265,90.980,95.134,81.200,38.300,43.600,39.900,28.000,19.000,19.000,19.000,18.986,¿¬,Argentina,ÃµÅæ,AMERICA,refined
0.516,0.516,0.000,2.000,0.450,0.000,1.112,1.000,1.230,3.200,3.256,4.000,5.797,¿¬,Bolivia,ÃµÅæ,AMERICA,refined
138.000,165.397,151.964,160.400,176.200,225.000,243.000,250.100,253.700,257.500,265.000,278.000,286.800,¿¬,Brazil,ÃµÅæ,AMERICA,refined
282.591,279.150,281.780,281.456,268.863,274.200,274.061,249.884,262.000,189.000,197.350,197.400,197.250,¿¬,Canada,ÃµÅæ,AMERICA,refined
0.000,0.000,0.000,0.000,7.000,8.000,10.400,10.000,9.000,8.000,10.000,9.700,11.400,¿¬,Costa Rica,ÃµÅæ,AMERICA,refined
42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,41.000,41.000,40.850,40.800,¿¬,Colombia,ÃµÅæ,AMERICA,refined
6.477,7.057,7.344,7.698,6.889,5.000,5.000,5.000,5.000,5.000,5.000,5.002,5.000,¿¬,Cuba,ÃµÅæ,AMERICA,refined
0.000,0.000,0.000,0.000,20.000,19.000,25.000,25.000,31.800,23.400,21.700,19.300,20.600,¿¬,Ecuador,ÃµÅæ,AMERICA,refined
18.000,11.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,11.000,12.000,12.000,12.000,¿¬,Guatemala,ÃµÅæ,AMERICA,refined
0.000,0.000,0.000,0.000,0.000,0.000,4.500,8.000,5.000,5.000,6.000,6.000,8.100,¿¬,Honduras,ÃµÅæ,AMERICA,refined
0.000,0.000,0.000,0.000,0.000,0.000,4.800,0.000,0.000,0.000,0.000,0.000,0.000,¿¬,Jamaica,ÃµÅæ,AMERICA,refined
397.721,384.108,371.215,363.490,488.640,401.391,422.840,433.109,446.889,410.000,423.200,428.660,456.692,¿¬,Mexico,ÃµÅæ,AMERICA,refined
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,¿¬,Nicaragua,ÃµÅæ,AMERICA,refined
0.000,4.600,84.567,44.200,1.494,10.000,15.000,15.000,15.000,10.200,13.000,14.400,14.400,¿¬,Peru,ÃµÅæ,AMERICA,refined
1248.000,1221.000,1308.000,1064.000,1050.000,1113.000,1127.000,1140.000,1169.600,1100.000,975.000,951.000,986.500,¿¬,U.S.A.,ÃµÅæ,AMERICA,refined
37.020,37.020,37.020,37.020,20.000,16.000,16.000,9.000,8.000,7.000,7.000,7.600,7.200,¿¬,Venezuela,ÃµÅæ,AMERICA,refined
232.000,207.000,232.400,226.000,228.000,225.000,211.000,188.300,124.800,155.600,166.904,165.977,222.458,¿¬,Australia,ÃµÅæ,OCEANIA,refined
13.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,¿¬,New Zealand,ÃµÅæ,OCEANIA,refined
4.817,5.445,5.934,6.022,5.324,5.458,5.590,5.666,7.305,12.681,11.311,11.392,11.910,¸ô¸®ºêµ§,Armenia,ÃµÅæ,EUROPE,mine
0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.399,0.400,0.400,0.000,0.000,0.000,¸ô¸®ºêµ§,Bulgaria,ÃµÅæ,EUROPE,mine
4.800,4.800,4.800,4.800,8.400,9.800,10.800,10.800,10.800,10.800,10.800,10.800,10.800,¸ô¸®ºêµ§,Russia,ÃµÅæ,EUROPE,mine
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,¸ô¸®ºêµ§,Niger,ÃµÅæ,AFRICA,mine
103.320,120.870,122.265,128.520,136.472,129.150,117.100,99.390,104.435,96.008,95.273,104.726,94.035,¸ô¸®ºêµ§,China,ÃµÅæ,ASIA,mine
3.869,2.997,3.000,3.064,3.553,3.148,3.292,1.656,0.690,2.393,3.078,3.348,5.787,¸ô¸®ºêµ§,Iran,ÃµÅæ,ASIA,mine
0.005,0.005,0.005,0.003,0.005,0.004,0.004,0.010,0.003,0.002,0.000,4.380,4.380,¸ô¸®ºêµ§,Japan,ÃµÅæ,ASIA,mine
0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.258,0.900,0.960,2.109,3.768,¸ô¸®ºêµ§,Kazakhstan,ÃµÅæ,ASIA,mine
1.957,1.904,1.818,2.000,2.557,2.432,2.596,2.499,2.492,2.608,2.972,2.780,2.653,¸ô¸®ºêµ§,Mongolia,ÃµÅæ,ASIA,mine
1.708,1.575,1.802,0.908,0.811,1.708,1.102,1.200,0.000,0.000,0.000,0.000,0.000,¸ô¸®ºêµ§,Argentina,ÃµÅæ,AMERICA,mine
8.543,8.936,7.955,9.358,2.330,2.834,4.765,5.235,4.384,2.671,1.444,0.961,0.998,¸ô¸®ºêµ§,Canada,ÃµÅæ,AMERICA,mine
40.891,35.095,38.715,48.770,52.577,55.647,62.746,60.705,54.758,59.381,49.426,45.627,44.118,¸ô¸®ºêµ§,Chile,ÃµÅæ,AMERICA,mine
10.881,11.366,12.559,13.618,12.279,11.231,13.985,15.084,16.890,18.562,18.919,15.496,16.533,¸ô¸®ºêµ§,Mexico,ÃµÅæ,AMERICA,mine
19.141,16.790,18.140,17.018,20.153,25.757,28.141,28.035,30.441,32.185,34.148,31.587,33.476,¸ô¸®ºêµ§,Peru,ÃµÅæ,AMERICA,mine
67.730,56.160,60.920,68.480,50.860,35.740,40.480,41.960,43.570,50.760,40.470,52.640,51.990,¸ô¸®ºêµ§,U.S.A.,ÃµÅæ,AMERICA,mine
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,¸ô¸®ºêµ§,Australia,ÃµÅæ,OCEANIA,mine
3.528,0.728,2.086,4.889,6.309,3.952,5.301,4.204,2.830,3.764,3.615,1.423,0.548,´ÏÄÌ,Albania,ÃµÅæ,EUROPE,mine
19.081,19.955,19.579,19.830,10.643,22.034,36.201,43.572,38.530,41.429,42.098,60.360,69.568,´ÏÄÌ,Finland,ÃµÅæ,EUROPE,mine
21.100,21.550,19.350,21.410,19.750,19.394,19.080,17.890,13.715,7.060,4.755,1.680,0.000,´ÏÄÌ,Greece,ÃµÅæ,EUROPE,mine
7.632,4.436,7.607,6.724,6.650,4.306,7.120,4.791,3.314,3.958,4.735,0.339,0.360,´ÏÄÌ,Kosovo,ÃµÅæ,EUROPE,mine
3.600,1.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Macedonia,ÃµÅæ,EUROPE,mine
0.326,0.253,0.380,0.346,0.265,0.214,0.172,0.254,0.190,0.274,0.285,0.263,0.253,´ÏÄÌ,Norway,ÃµÅæ,EUROPE,mine
0.850,0.800,0.600,0.780,0.840,0.770,0.720,0.700,0.720,0.710,0.720,0.800,0.840,´ÏÄÌ,Poland,ÃµÅæ,EUROPE,mine
270.000,268.700,264.000,264.000,261.000,221.387,215.167,218.342,225.704,232.532,189.945,218.703,208.155,´ÏÄÌ,Russia,ÃµÅæ,EUROPE,mine
0.000,2.398,7.574,8.631,7.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Spain,ÃµÅæ,EUROPE,mine
15.675,17.948,22.848,14.952,16.788,16.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Botswana,ÃµÅæ,AFRICA,mine
0.000,0.000,0.000,0.000,0.000,0.000,0.576,6.852,16.421,18.988,27.849,33.534,36.279,´ÏÄÌ,Ivory Coast,ÃµÅæ,AFRICA,mine
0.000,5.695,25.149,37.054,47.271,42.105,35.474,33.183,33.733,9.900,29.352,35.629,37.914,´ÏÄÌ,Madagascar,ÃµÅæ,AFRICA,mine
0.217,0.288,0.160,0.000,0.203,0.188,0.196,0.126,0.131,0.142,0.144,0.144,0.144,´ÏÄÌ,Morocco,ÃµÅæ,AFRICA,mine
43.320,45.946,51.208,54.956,56.689,48.994,48.463,43.236,43.466,34.908,31.846,29.033,29.750,´ÏÄÌ,South Africa,ÃµÅæ,AFRICA,mine
2.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.230,3.780,3.680,3.942,6.550,´ÏÄÌ,Zambia,ÃµÅæ,AFRICA,mine
7.993,7.898,12.961,16.633,16.109,17.743,16.617,17.850,16.278,16.336,16.213,16.213,16.927,´ÏÄÌ,Zimbabwe,ÃµÅæ,AFRICA,mine
89.792,93.300,93.200,101.100,101.400,100.200,102.300,108.200,104.674,105.048,98.602,88.200,88.200,´ÏÄÌ,China,ÃµÅæ,ASIA,mine
226.907,622.218,811.481,145.548,128.605,202.946,358.242,619.937,863.965,780.661,1042.814,1605.378,2134.837,´ÏÄÌ,Indonesia,ÃµÅæ,ASIA,mine
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Kazakhstan,ÃµÅæ,ASIA,mine
0.800,4.900,1.670,19.714,22.902,22.600,21.785,17.802,14.445,24.539,21.127,8.434,5.901,´ÏÄÌ,Myanmar,ÃµÅæ,ASIA,mine
319.353,317.621,313.050,443.909,466.754,345.506,379.377,389.966,341.325,328.911,393.687,340.127,382.568,´ÏÄÌ,Philippines,ÃµÅæ,ASIA,mine
0.848,3.814,1.178,3.035,8.637,9.337,14.767,13.559,4.742,20.201,11.647,14.479,14.400,´ÏÄÌ,Turkey,ÃµÅæ,ASIA,mine
0.000,0.000,1.200,6.932,8.607,4.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Vietnam,ÃµÅæ,ASIA,mine
74.579,89.565,74.387,85.600,89.320,78.626,68.803,65.254,55.744,77.133,75.988,79.300,74.400,´ÏÄÌ,Brazil,ÃµÅæ,AMERICA,mine
219.025,211.701,227.743,228.867,234.519,235.034,214.302,185.962,193.056,157.990,116.234,97.400,126.169,´ÏÄÌ,Canada,ÃµÅæ,AMERICA,mine
37.818,51.594,49.386,41.200,36.700,37.085,40.600,43.100,40.600,36.100,38.300,41.800,38.700,´ÏÄÌ,Colombia,ÃµÅæ,AMERICA,mine
68.552,64.595,55.620,51.587,50.064,47.753,49.290,48.951,45.492,50.061,49.929,51.101,47.213,´ÏÄÌ,Cuba,ÃµÅæ,AMERICA,mine
13.498,15.186,9.400,0.000,0.000,9.913,15.632,19.214,28.450,21.316,27.320,28.400,19.424,´ÏÄÌ,Dominican Republic,ÃµÅæ,AMERICA,mine
0.000,2.422,10.184,46.914,56.506,44.746,55.730,39.020,32.133,49.643,64.933,50.762,18.663,´ÏÄÌ,Guatemala,ÃµÅæ,AMERICA,mine
0.000,0.000,0.000,4.300,27.167,24.114,22.081,17.573,13.494,16.718,18.353,17.475,16.429,´ÏÄÌ,U.S.A.,ÃµÅæ,AMERICA,mine
13.400,8.100,3.261,2.500,4.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Venezuela,ÃµÅæ,AMERICA,mine
215.014,282.066,292.620,266.181,225.227,203.136,185.466,160.022,158.750,169.344,150.875,155.007,148.840,´ÏÄÌ,Australia,ÃµÅæ,OCEANIA,mine
128.113,131.693,164.406,175.174,193.199,204.210,215.382,216.225,208.185,199.697,186.284,199.951,231.028,´ÏÄÌ,New Caledonia,ÃµÅæ,OCEANIA,mine
0.000,5.283,11.370,20.987,25.581,22.269,34.666,35.355,32.722,33.659,31.594,34.304,33.604,´ÏÄÌ,Papua New Guinea,ÃµÅæ,OCEANIA,mine
0.500,0.500,0.500,0.600,0.700,0.700,0.700,0.700,0.700,0.700,0.700,1.000,1.000,´ÏÄÌ,Austria,ÃµÅæ,EUROPE,refined
48.524,45.518,44.252,42.603,43.479,53.653,59.716,60.765,62.422,63.352,48.789,69.308,70.031,´ÏÄÌ,Finland,ÃµÅæ,EUROPE,refined
13.916,13.546,12.916,8.812,6.761,4.287,2.417,3.700,6.900,7.300,8.900,6.842,7.125,´ÏÄÌ,France,ÃµÅæ,EUROPE,refined
18.530,18.600,16.827,18.481,17.113,17.069,16.781,15.719,11.974,6.011,4.079,1.444,0.000,´ÏÄÌ,Greece,ÃµÅæ,EUROPE,refined
7.500,4.436,7.607,6.724,6.650,2.519,8.501,4.388,5.234,7.811,5.911,0.000,0.000,´ÏÄÌ,Kosovo,ÃµÅæ,EUROPE,refined
17.292,19.247,20.001,18.054,17.699,10.607,7.175,10.100,15.202,17.747,17.714,8.349,3.812,´ÏÄÌ,Macedonia,ÃµÅæ,EUROPE,refined
92.427,91.687,91.000,90.500,91.200,92.700,86.500,90.800,92.100,91.100,91.200,81.900,95.000,´ÏÄÌ,Norway,ÃµÅæ,EUROPE,refined
0.850,0.800,0.600,0.780,0.840,0.770,0.720,0.700,0.720,0.710,0.720,0.800,0.840,´ÏÄÌ,Poland,ÃµÅæ,EUROPE,refined
266.000,254.000,242.000,239.436,231.916,192.095,157.395,150.325,154.058,154.402,121.088,149.269,146.104,´ÏÄÌ,Russia,ÃµÅæ,EUROPE,refined
22.475,20.833,26.751,25.129,20.842,18.920,15.605,16.331,15.133,15.910,15.657,10.093,0.733,´ÏÄÌ,Ukraine,ÃµÅæ,EUROPE,refined
37.400,39.400,42.400,39.100,39.094,43.104,37.090,38.211,34.976,35.177,30.654,33.384,35.851,´ÏÄÌ,United Kingdom,ÃµÅæ,EUROPE,refined
0.000,5.695,25.149,37.054,47.271,42.105,35.474,33.183,33.733,9.900,29.352,35.629,37.914,´ÏÄÌ,Madagascar,ÃµÅæ,AFRICA,refined
36.000,32.500,32.300,34.700,41.957,42.110,42.988,39.494,39.137,29.122,37.958,37.590,35.949,´ÏÄÌ,South Africa,ÃµÅæ,AFRICA,refined
3.700,1.800,2.800,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,´ÏÄÌ,Zimbabwe,ÃµÅæ,AFRICA,refined
469.744,590.872,710.657,537.137,453.197,436.973,620.982,732.919,852.375,752.189,813.790,885.955,956.621,´ÏÄÌ,China,ÃµÅæ,ASIA,refined
0.000,0.000,1.010,2.028,1.861,0.329,0.092,0.077,0.055,0.000,0.000,0.000,0.000,´ÏÄÌ,India,ÃµÅæ,ASIA,refined
19.690,18.373,22.849,21.603,47.430,105.071,197.338,287.736,386.418,630.358,873.144,1139.640,1455.111,´ÏÄÌ,Indonesia,ÃµÅæ,ASIA,refined
156.883,169.556,177.810,177.782,192.789,195.565,187.046,186.736,182.652,171.044,180.721,163.401,153.248,´ÏÄÌ,Japan,ÃµÅæ,ASIA,refined
0.000,4.900,1.670,19.714,22.902,22.600,21.785,17.802,14.445,24.539,21.127,8.434,5.901,´ÏÄÌ,Myanmar,ÃµÅæ,ASIA,refined
